"PARROQUIA ""SANTIAGO APOSTOL DE HUANCANE""",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
15/01/2025,11185,PARTIDA DE BAUTISMO 0017027,10,,2611,
15/01/2025,11186,PARTIDA DE BAUTISMO 0017028,10,,2621,
15/01/2025,11187,PARTIDA DE BAUTISMO 0017029,10,,2631,
15/01/2025,11188,PARTIDA DE BAUTISMO 0017030,10,,2641,ENTREGADO A LA H. TERESA BRICEÑO
,,,,,2641,40
16/01/2025,0011189,MISA DE SALUD,20,,2661,
16/01/2025,0011190,MISA DE SALUD,30,,2691,
16/01/2025,0011191,MISA DE SALUD,20,,2711,
16/01/2025,0011192,MISA DE ALMA,10,,2721,
16/01/2025,0011193,MISA DE SALUD,20,,2741,
16/01/2025,0011194,MISA DE SALUD,20,,2761,
16/01/2025,0011195,MISA DE SALUD,20,,2781,
16/01/2025,0011196,MISA DE SALUD,30,,2811,
16/01/2025,0011197,MISA DE ALMA,10,,2821,
16/01/2025,0011198,MISA DE SALUD,20,,2841,
16/01/2025,0011199,MISA DE SALUD,20,,2861,
16/01/2025,0011200,MISA DE ALMA,30,,2891,
16/01/2025,0011201,ANULADO,,,2891,
16/01/2025,0011202,ANULADO,,,2891,
16/01/2025,0011203,ANULADO,,,2891,
16/01/2025,0011204,ANULADO,,,2891,
16/01/2025,0011205,ANULADO,,,2891,
16/01/2025,0011206,ANULADO,,,2891,
16/01/2025,0011207,ANULADO,,,2891,
16/01/2025,0011208,ANULADO,,,2891,
16/01/2025,0011209,ANULADO,,,2891,
16/01/2025,0011210,ANULADO,,,2891,
16/01/2025,0011211,ANULADO,,,2891,
16/01/2025,0011212,ANULADO,,,2891,
16/01/2025,0011213,ANULADO,,,2891,
16/01/2025,0011214,ANULADO,,,2891,
16/01/2025,0011215,ANULADO,,,2891,
16/01/2025,0011216,MISA DE SALUD,20,,2911,
16/01/2025,0011217,MISA DE ALMA,30,,2941,
16/01/2025,0011218,MISA DE SALUD,20,,2961,
16/01/2025,0011219,MISA DE ALMA,10,,2971,
16/01/2025,0011220,MISA SOLEMDIDAD DEL NOÑO JESUS DE PRAGA,100,,3071,
16/01/2025,0011221,MISA DE ALMA,10,,3081,
16/01/2025,0011222,MISA DE ALMA,10,,3091,
16/01/2025,0011223,MISA DE ALMA,10,,3101,
16/01/2025,0011224,MISA DE ALMA,20,,3121,
16/01/2025,0011225,MISA DE ALMA,10,,3131,
16/01/2025,0003764,COMPRA DE PARTIDA DE BAUTISMO,,200,2931,
16/01/2025,0003765,COMPRA DE PARTIDA DE MATRIMONIO,,100,2831,
16/01/2025,0003766,"FUT SOL. ASP BAUT. , SOL.ASP CONFIRMACICÓN Y TES. ASP.CONFIR.",,37.5,2793.5,
16/01/2025,0011226,MISA EXEQUIA,100,,2893.5,ENTREGADO A LA HERMANA YUDY
,,,,,2893.5,252.5
17/01/2025,0011227,PARTIDA DE MATRIMONIO 005277,10,,2903.5,
17/01/2025,0011228,PARTIDA DE BAUTISMO 001731,10,,2913.5,
17/01/2025,0011229,PARTIDA DE BAUTISMO 0017032,10,,2923.5,
17/01/2025,0011230,PARTIDA DE CONFIRMACIÓ 001697,10,,2933.5,ENTREGADO A LA HERMANA YUDY
,,,,,2933.5,40
19/01/2025,0011231,MISA DE ALMA,20,,2953.5,
19/01/2025,0011232,MISA DE ALMA Y SALUD,60,,3013.5,
19/01/2025,0011233,MISA DE SALUD,40,,3053.5,
19/01/2025,0011234,MISA DE ALMA,20,,3073.5,
19/01/2025,0011235,MISA DE ALMA,10,,3083.5,
19/01/2025,0011236,MISA DE SALUD,20,,3103.5,
19/01/2025,0011237,MISA DE SALUD,20,,3123.5,
19/01/2025,0011238,MISA DE SALUD,20,,3143.5,
19/01/2025,0011239,MISA DE ALMA,10,,3153.5,
19/01/2025,0011240,PARTIDA DE BAUTISMO N°. 0017033,10,,3163.5,ENTREGADO A LA H. TERESA BRICEÑO
,,,,,3163.5,230
20/01/2025,0011241,MISA DE ALMA,30,,3193.5,
20/01/2025,0011242,SACRAMENTO DE BAUTISMO,50,,3243.5,
20/01/2025,0011243,SACRAMENTO DE BAUTISMO(2),100,,3343.5,
20/01/2025,0011244,MISA DE ALMA,10,,3353.5,
20/01/2025,0011245,MISA DE ALMA,20,,3373.5,
20/01/2025,0011246,PARTIDA DE BAUTISMO 0017034,10,,3383.5,
20/01/2025,0011247,ANULADO,,,3383.5,
20/01/2025,0011248,MISA DE ALMA,10,,3393.5,
20/01/2025,0011249,MISA DE CHACRA,100,,3493.5,ENTREGADO A LA H. TERESA BRICEÑO
,,,,,3493.5,330
21/01/2025,0011250,PARTIDA DE CONFIRMACIÓN,10,,3503.5,
21/01/2025,0011251,MISA DE EXEQUIA,100,,3603.5,
21/01/2025,0011252,MISA DE SALUD,40,,3643.5,
21/01/2025,0011253,MISA DE SALUD,20,,3663.5,
21/01/2025,0011254,MISA DE ALMA,10,,3673.5,
21/01/2025,0011255,MISA DE ALMA,10,,3683.5,
21/01/2025,0011256,MISA DE EXEQUIA,100,,3783.5,
21/01/2025,0011257,MISA DE CHACRA,100,,3883.5,
21/01/2025,0011258,PARTIDA DE BAUTISMO N° 0015546,10,,3893.5,
21/01/2025,BV.     6084,UTILES DE ESCRITORIO,,176,3717.5,ENTREGADO A LA H. TERESA BRICEÑO
,,,,,3717.5,224
22/01/2025,0011259,PARTIDA DE BAUTISMO 0015993,10,,3727.5,
22/01/2025,0011260,PARTIDA DE MATRIMONIO 005317-005616,20,,3747.5,
22/01/2025,0011261,PARTIDA DE BAUTISMO 0016939,10,,3757.5,
22/01/2025,0011262,PARTIDA DE MATRIMONIO 0016898,10,,3767.5,
22/01/2025,0011263,MISA DE ANIVERSARIO,100,,3867.5,
22/01/2025,0011264,MISA DE ALMA,80,,3947.5,
22/01/2025,0011265,CONSTANCIA DE NO EXISTENCIA P.B.,20,,3967.5,
22/01/2025,0011265,PARTIDA DE MATRIMONIO N° 005318 ,10,,3977.5,
22/01/2025,0011266,PARTIDA DE BAUTISMO ,10,,3987.5,
22/01/2025,0011267,MISA DE ALMA,10,,3997.5,
22/01/2025,0011268,PARTIDA DE BAUTISMO 0016896,10,,4007.5,
22/01/2025,0011268,CONSTANCIA DE NO EXISTENCIA P.B.,10,,4017.5,
22/01/2025,0011269,PARTIDA DE MATRIMONIO 005319,10,,4027.5,ENTREGADO A LA H. TERESA BRICEÑO
,,,,,4027.5,310
23/01/2025,0011270,MISA DE SALUD,20,,4047.5,
23/01/2025,0011271,MISA DE SALUD,60,,4107.5,
23/01/2025,0011272,MISA DE SALUD,20,,4127.5,
23/01/2025,0011273,MISA DE SALUD Y ALMA,30,,4157.5,
23/01/2025,0011274,MISA DE SALUD,20,,4177.5,
23/01/2025,0011275,MISA DE SALUD,20,,4197.5,
23/01/2025,0011276,MISA DE SALUD,20,,4217.5,
23/01/2025,0011277,MISA DE SALUD,20,,4237.5,
23/01/2025,0011278,MISA DE SALUD,20,,4257.5,
23/01/2025,0011279,MISA DE SALUD,20,,4277.5,
23/01/2025,0011280,MISA DE SALUD,20,,4297.5,
23/01/2025,0011281,MISA DE SALUD,20,,4317.5,
23/01/2025,0011282,MISA DE SALUD,20,,4337.5,
23/01/2025,0011283,MISA DE ALMA,10,,4347.5,
23/01/2025,0011284,PARTIDA DE BAUTISMO 0016895,10,,4357.5,
23/01/2025,0011285,MISA DE ALMA,80,,4437.5,
23/01/2025,0011286,PARTIDA DE BAUTISMO 0016894 ,10,,4447.5,
23/01/2025,0011287,PARTIDA DE MATRIMONIO 005320,10,,4457.5,
23/01/2025,0011288,SACRAMENTO DE BAUTISMO,50,,4507.5,
23/01/2025,0011289,MISA DE SALUD,20,,4527.5,
23/01/2025,0011290,PARTIDA DE BAUTISMO,10,,4537.5,
23/01/2025,0011291,MISA PARTICULAR,80,,4617.5,
23/01/2025,0011292,PARTIDA DE BAUTISMO 0016893,10,,4627.5,
23/01/2025,0011292,FUT DE RECTIFICACION ,5,,4632.5,ENTREGADO A LA H. TERESA BRICEÑO
,,,,,4632.5,605
24/01/2025,0011293,SACRAMENTO DE BAUTISMO,50,,4682.5,
24/01/2025,0011293,SACRAMENTO DE CONFIRMACION,70,,4752.5,
24/01/2025,0011294,PARTIDA DE MATRIMONIO  005322,10,,4762.5,
24/01/2025,0011294,PARTIDA DE BAUTISMO 0016891,10,,4772.5,
24/01/2025,0011295,PARTIDA DE BAUTISMO 0016890,10,,4782.5,
24/01/2025,0011296,MISA DE ALMA,10,,4792.5,
24/01/2025,0011297,PARTIDA BAUTISMO 0016889,10,,4802.5,
24/01/2025,0011297,FUT DE RECTIFICACION DE P.B. 000878,5,,4807.5,ENTREGADO A LA H. TERESA BRICEÑO
,,,,,4807.5,175
27/01/2025,0011326,MISA DE SALUD,20,,4827.5,
27/01/2025,0011327,SACRAMENTO DE BAUTISMO,100,,4927.5,
27/01/2025,0011328,ANULADO,,,4927.5,
27/01/2025,0011329,PARTIDA DE BAUTISMO,10,,4937.5,
27/01/2025,0011329,PARTIDA DE CONFIRMACION ,20,,4957.5,
27/01/2025,0011330,PARTIDA DE BAUTISMO  0016838,10,,4967.5,
27/01/2025,0011331,PARTIDA DE BAUTISMO 0016787,10,,4977.5,
27/01/2025,0011332,MISA DE PARTICULAR,80,,5057.5,
27/01/2025,0011333,MISA DE ALMA,10,,5067.5,
27/01/2025,0011334,MISA PARTICULAR,100,,5167.5,
27/01/2025,0011335,MISA DE ALMA,20,,5187.5,
27/01/2025,0011336,MISA PARTICULAR,80,,5267.5,
27/01/2025,0011337,SACRAMENTO DE BAUTISMO,200,,5467.5,ENTREGADO A LA HERMANA YUDY
,,,,,5467.5,660
28/01/2025,0011338,PARTIDA DE BAUTISMO N° 0016766,10,,5477.5,
28/01/2025,0011339,MISA DE ALMA,10,,5487.5,ENTREGADO A LA HERMANA YUDY
,,,,,5487.5,20
29/01/2025,0011340,MISA DE ALMA,10,,5497.5,
29/01/2025,0011341,PARTIDA DE BAUTISMO N° 0016764 Y 0016765,20,,5517.5,
29/01/2025,0011342,MISA DE ALMA,10,,5527.5,
29/01/2025,0011343,MISA DE ALMA,20,,5547.5,
29/01/2025,0011344,MISA DE ALMA Y SALUD,30,,5577.5,
29/01/2025,0011345,MISA DE ALMA,80,,5657.5,ENTREGADO AL P. CHIRISTIAN
,,,,,5657.5,170
30/01/2025,0011346,MISA DE ALMA (COMUNITARIA),30,,5687.5,
30/01/2025,1401,TRANSPORTE PARA LA COM. CHILLICUYO (HNO GABRIEL),,30,5657.5,
30/01/2025,0011347,MISA DE ALMA (COMUNITARIA),10,,5667.5,
30/01/2025,0011348,MISA DE ALMA (COMUNITARIA),10,,5677.5,
30/01/2025,0011349,MISA DE ALMA (COMUNITARIA),50,,5727.5,
30/01/2025,0011350,MISA DE SALUD (COMUNITARIA),20,,5747.5,
30/01/2025,0011351,MISA DE SALUD (COMUNITARIA),20,,5767.5,
30/01/2025,0011352,MISA DE SALUD (COMUNITARIA),20,,5787.5,
30/01/2025,0011353,MISA DE SALUD (COMUNITARIA),20,,5807.5,
30/01/2025,0011354,MISA DE SALUD (COMUNITARIA),20,,5827.5,
30/01/2025,0011355,MISA DE ALMA (COMUNITARIA),20,,5847.5,
30/01/2025,0011356,MISA DE SALUD (COMUNITARIA),30,,5877.5,
30/01/2025,0011357,MISA DE SALUD (COMUNITARIA),20,,5897.5,
30/01/2025,0011358,PARTIDA DE BAUTISMO  0016761,10,,5907.5,
30/01/2025,0011358,PARTIDA DE MATRIMONIO 005321,10,,5917.5,
30/01/2025,0011359,MISA DE SALUD (COMUNITARIA),30,,5947.5,
30/01/2025,0011360,MISA DE SALUD (COMUNITARIA),30,,5977.5,
30/01/2025,0011361,SACRAMENTO DE MATRIMONIO,200,,6177.5,
30/01/2025,0011361,MISA DE FIESTA,200,,6377.5,
30/01/2025,0011362,MISA DE ALMA (COMUNITARIA),20,,6397.5,
30/01/2025,0011363,PARTIDA DE BAUTISMO  0016762,10,,6407.5,
30/01/2025,0011364,PARTIDA DE BAUTISMO 0016760,10,,6417.5,
30/01/2025,0011365,PARTIDA DE BAUTISMO 0016759,10,,6427.5,
30/01/2025,0011366,PARTIDA DE MATRIMONIO 005323,10,,6437.5,
30/01/2025,0011367,MISA DE ALMA (PARTICULAR),80,,6517.5,
30/01/2025,0011368,MISA DE ALMA (COMUNITARIA),20,,6537.5,ENTREGADO AL P. CHIRISTIAN
,,,,,6537.5,910
31/01/2025,0011369,2 PARTIDA DE BAUTISMO ,20,,6557.5,
31/01/2025,0011370,MISA DE ALMA (COMUNITARIA),10,,6567.5,ENTREGADO AL P. CHIRISTIAN
,,,,,6567.5,30
,,,,,6567.5,
,,,,,6567.5,
,,TOTAL DE SALDOS  EN SOLES,7125,557.5,6567.5,
,,,,,,
Son: SEIS MIL QUINIENTOS NOVENTA Y SIETE CON 50/100. soles,,,,,,
,,,,,,
,,,,,,
,,,,,,
_______________________________,,,,,_____________________________________,
 ENTREGUE CONFORME,,,,,     RECIBÍ CONFORME,
,,__________________________________________,,,NOMBRE: ,
,,CAJA DE DEPÓSITO,,,DNI.,
